POS.NORMAL	POS.TUMOR	POS.NORMAL.1	POS.TUMOR.1	NEG.TUMOR	NEG.NORMAL	NEG.TUMOR.1	POS.NORMAL.2	POS.TUMOR.2	POS.TUMOR.3	POS.NORMAL.3	NEG.NORMAL.1	NEG.TUMOR.2	NEG.NORMAL.2	NEG.TUMOR.3	NEG.NORMAL.3	NEG.TUMOR.4	POS.NORMAL.4	POS.TUMOR.4	POS.TUMOR.5	POS.NORMAL.5	POS.TUMOR.6	NEG.NORMAL.4	NEG.TUMOR.5	NEG.NORMAL.5	NEG.NORMAL.6	NEG.TUMOR.6	NEG.NORMAL.7	NEG.TUMOR.7	NEG.TUMOR.8	POS.NORMAL.6	POS.TUMOR.7	POS.NORMAL.7	POS.NORMAL.8	POS.TUMOR.8	POS.TUMOR.9	POS.TUMOR.10	POS.NORMAL.9	POS.NORMAL.10	POS.TUMOR.11	NEG.TUMOR.9	NEG.TUMOR.10	NEG.NORMAL.8	NEG.TUMOR.11	NEG.NORMAL.9	NEG.NORMAL.10	NEG.TUMOR.12	POS.TUMOR.12	NEG.NORMAL.11	NEG.TUMOR.13	POS.TUMOR.13	POS.NORMAL.11	POS.NORMAL.12	POS.TUMOR.14	NEG.NORMAL.12	NEG.TUMOR.14	POS.NORMAL.13	POS.TUMOR.15	POS.NORMAL.14	POS.TUMOR.16	POS.TUMOR.17	NEG.TUMOR.15	NEG.TUMOR.16	NEG.NORMAL.13	POS.TUMOR.18	NEG.TUMOR.17	NEG.NORMAL.14	NEG.NORMAL.15	NEG.TUMOR.18	NEG.TUMOR.19	POS.TUMOR.19	POS.NORMAL.15	POS.TUMOR.20	POS.NORMAL.16	NEG.NORMAL.16	NEG.TUMOR.20	POS.NORMAL.17	POS.TUMOR.21	POS.NORMAL.18	POS.TUMOR.22	NEG.NORMAL.17	NEG.TUMOR.21	NEG.NORMAL.18	NEG.TUMOR.22	NEG.NORMAL.19	NEG.TUMOR.23	POS.TUMOR.23	NEG.NORMAL.20	NEG.TUMOR.24	POS.NORMAL.19	POS.TUMOR.24	NEG.TUMOR.25	NEG.NORMAL.21	NEG.TUMOR.26	NEG.NORMAL.22	NEG.TUMOR.27	NEG.NORMAL.23	NEG.TUMOR.28	POS.NORMAL.20	POS.TUMOR.25	POS.NORMAL.21	POS.TUMOR.26	POS.NORMAL.22	POS.TUMOR.27	POS.TUMOR.28	POS.TUMOR.29	POS.NORMAL.23	POS.TUMOR.30
C03626	99917.05	668047.39	618496.72	423904.91	759863.37	123196.24	937975.82	72272.82	723105.16	733498.01	167251.63	108784.786	397855.75	36326.94	508953.34	145649.36	260649.3	76317.98	32402.23	343492.12	73309.82	339355.82	145036.74	764667.31	69316.79	76788.5	374017.07	31980.6	235183.22	674336.36	104004.89	807808.24	71103.76	30112.91	445118.55	74976.33	171484.29	290485.42	46663.93	366137.89	932173.82	341153.95	26784.33	402552.81	269972.58	428811.62	1017199.8	456088.93	132038.38	920137.31	466914.19	204848.14	133741.818	150875	17834.25	1164960.02	74305.62	146941.22	251233.04	801633.05	511508.39	705931.63	92831.23	49383.12	396408.39	260168.59	73920.87	58203.01	1242562.18	174008.09	239420.3	51593.69	416393.65	181759.19	69618.41	1039996	144064.93	707038.38	44785.6	178005.02	135166.99	939022.82	145615.65	566293.19	89011.65	174642.4	290547.22	204848.14	1228902.36	45542.64	285500.16	349362.93	42720.35	693234.75	132317.01	678090.34	36143.64	238621.7	56116.13	399396.21	82889.76	367843.55	126511.66	1468092.21	636401.64	1037928.19	227937.08	294398.98
C06429	112294.7	2059743.98	478095.81	646255.66	3181138.68	366000.02	3622599.23	153905.99	671971.27	1037590.36	602522.71	178837.44	983043.64	97644.81	3215451.41	479900.53	472687.44	136748.08	70674.69	1011047.39	379094.36	418696.53	411134.64	3092226.83	453092.47	165379.75	526289.9	227549.75	2453782.98	1703496.4	555566.06	1867760.77	121772.6	138670.13	1101662.34	442060.37	765217.68	571587.52	81340.81	374082.4	3170303.24	410087.31	118036.17	487862.62	372074.15	2711446.14	3592122.72	868359.05	296575.7	4247283.94	642174.94	300019.93	168934.37	305722.2	136021.93	1950349.15	197578.27	272620.65	488838	829789.43	485317.57	4111529.99	512125.63	432694.31	375462.88	363532.23	133607.025555556	63851.74	3455112.63	482609.05	403006.64	81694.84	739152.45	394929.27	390137.53	4580304.41	739041.5	4212855.16	487122.29	325886.1	700238.98	2324150.36	849809.32	5088217.02	178563.79	481672.32	655688.54	464460.33	1470502.53	146126.5	1098630.63	1418535.39	154045.39	1835176.71	643364.77	1561473.94	70137.03	238054.11	190103.41	647408.58	130812.18	538221.78	198003.15	925195.43	2551757.07	1237101.27	449278.48	541811.98
C16513	60433.8	2528719.7	444937.11	1652539.32	5478935.16	432996.81	5654915.09	75869.32	464237.6	860541.9	336131.74	100971.3	788785.61	72070.82	6066436.49	384805.2	645859.82	128455.22	61551.58	648542.26	407085.6	453878.94	231240.48	3182457.52	296151.29	192255.85	1304756.07	172978.96	1940318.2	1434377.58	359336.21	2528211.03	194219.4	96177.53	705870.42	319175.41	517416.2	324106.8	86651.06	452060.57	4219158.56	306685.85	81066.51	430482.27	356144.93	4689389.7	5633626.24	804074.33	244322.13	12031598.46	387317.62	183020.34	152234.88	193760.57	109955.89	5118024.19	113153.65	162159.69	270361.22	1176863.92	664339.22	2663429.16	623937.72	314053.8	576369.42	463203.22	50682.84	45209.4	4997060.81	209662.55	325176.69	71071.06	1428712.71	473912	287597.42	5766904.73	1085613.13	6672058.93	606763.36	200404.09	416027.43	1290234.65	542137.48	5493034.41	156779.24	430482.27	607033.13	539662.6	2305103.63	87057.05	738495.62	2891673.7	194621.09	3619798.73	539582.97	1504322.84	88531.52	339435.29	178521.82	1620390.58	106294.74	428755.07	227482.95	2878090.93	2874566.1	1277956.64	381119.23	357223.69
C16534	91784.774	203332.99	13563.674	165587.5144	222740.052	49258.65	193048.606	55148.2561666667	33126.313	196410.448	32897.176	42532.8392	159751.979	173473.711	269146.016	49059.91	33315.536	24804.364	25523.5025	63224.74	31704.141	143062.386	78598.9771428571	319579.921	28559.8712	87724.9271666667	74824.933	10667.324	63224.74	174360.578	30135.4193333333	25757.558	33216.4875	38302.6853333333	145746.762	59478.2652857143	111635.201625	53974.6492222222	21274.833	55588.9184444444	2217378.987	17418.309	17475.9296666667	30607.194	73233.2807777778	1014867.371	1659341.614	105759.3345	53794.1936666667	141133.272	8964.975	7751.113	56772.2104	75015.824	22379.498	1244001.646	22440.603	26952.5653333333	17353.963	93418.22575	77981.617	98777.583	56907.2	42547.97	50130.914	45697.725	24313.187	34275.9717142857	891532.128	66184.240375	45438.8698333333	58396.599	66201.655	44125.7577142857	23646.743	168754.79	65134.137	421882.3237	29476.373	34080.177	23126.605	137801.135	68163.018	1873324.006	38367.226	6939.051	96312.676	75797.769	349010.099	103547.43	10692.395	320796.234	23802.6	73712.567	34026.124	608728.501	59057.756	152488.1966	20944.351	94560.737	113089.1224	40706.679	72769.6825555556	213654.182444444	229953.651	12707.002	51631.233	81625.2452857143
C06428	86338.61	1522884.31	270435.7	883399.25	2087879.17	209582.18	1809646.9	116744.44	307786.02	543200.95	291439.98	150085.81	437937.26	141673.97	2173798.12	242305.25	310154.02	180022.86	112741.63	426540.62	172031.49	367015.68	266769.06	1996245.24	251562.54	114493.32	465483.78	146666.68	815018.2	496320.93	413412.2	2340723.04	196705.09	127889.94	307755.16	155349.22	343262.06	195624.02	185000.62	302344.96	2297498.05	247525.84	114265.69	327180.18	194831.75	1330293.88	2341217.88	518719.88	186959.64	3217959.63	317292.57	184125.52	151515.82	147735.04	125818.36	1839744.14	145376.76	149461.46	173064.78	531007.41	482232.83	1118052.53	268172.03	266181.96	278439.21	248614.93	91386.37	77223.96	1874825.66	248755.86	256210	110627.36	420424.82	278243.78	256600.71	6965285.28	283994.07	1965200.71	263918.29	114411.41	348084.78	897970.29	267176.99	1074129.2	180390.52	395061.39	274958.87	232049.66	1324172.84	171453.19	263126.71	800294.49	203021.01	2557148.42	670282.86	905724.76	141920.92	305427.73	111416.88	851252.37	171720.89	368659.19	177381.15	978903.76	614584.2	592756.63	187500.4	200320.89
C01620	24606.9644444444	131006.06	20648.632	18269.606	109162.872	18770.984	38627.316	37259.712	209410.271	94654.961	55490.347	34564.91	20027.997	161111.355	52728.778	52426.631	33007.054	40914.495	28120.68	23951.208	27657.0271428571	24184.061	24431.83875	101372.681	32034.565	35831.3416666667	19943.29	26363.7866666667	76227.08375	73649.371	28678.54	55813.371	7778.011	1067047.37766901	125223.288	30634.6133333333	85010.669	33062.181	20696.585	37963.787	427953.204	8921.574	29797.36	38269.9144444444	9967.807	63024.997	78528.319	39002.27	3601.267	97257.394	13194.904	29666.0583333333	72724.6975	27200.601	30344.4266666667	301704.049	35915.43125	18433.41	25621.93	39002.27	26718.231	112872.591111111	35496.4842857143	41811.008	20948.925	40128.8466666667	14032.335	37519.5025	96480.835	7193.553	35553.492	10629.164	321180.802	36295.5	7885.03	207537.994	39002.27	355189.295	34785.626	10157.435	11525.535	97633.588	29266.0828571429	174895.88	26156.594	8311.589	155175.711	55379.9175	99152.327	29462.79	115464.103	146662.593	39187.8033333333	61658.798	31919.842	37003.603	28753.54	44310.97	29211.56	23305.977	79975.58	25244.264	35936.625	405586.833	32209.369	39377.224	16400.189	48207.3288888889
C00189	389496.53	2662299.08	3300669.92	1605751.45	6940967.43	762910.27	8912682.16	372118.51	5201787.51	1055827.6	598449.63	65320.88	1711666.91	138037.25	2385929.27	140845.77	904373.24	115223.71	47326.36	1076681.78	400370.11	1166354.96	1027320.99	2029595.93	201387.73	117252.26	758825.71	262139.07	1157407.52	1382420.58	234019.38	5582171.2	257695.89	46436.02	2607262.85	169198.19	826688.8	904373.24	67881.32	904373.24	4672107.83	3251730.66	150810.74	2062313.46	1515441.07	1194052.89	3015457.59	982824.76	1014951.94	3681065.05	1396531.58	522018.55	85650.56	1225532.09	220156.071666667	2871093.38	305704.12	468981.38	1049920.77	2353734.53	1321946.97	1929967.87	300099.4	393330.08	749187.7	1379809.07	238564.42	334555.72	3586644.39	317821.09	720576.95	49385.62	868710.99	1108148.3	460472.16	6779473.88	2481837.36	10512435.02	342701.12	2073643.82	1667577.7	17746583.29	680960.98	1950096.14	258195	648343.49	1185243.14	877201.98	2192672.46	143461.86	584818.94	1502680.99	143381.23	2578039.29	1414213.92	1650579.79	61296.45	2263752.19	72432.45	3804675.11	221679.38	1619045.16	212265.84	3313251.78	2500419.75	3472739.27	699664.87	715610.21
C00095	79449.184375	1072483.6	235536.17	124577.87	135526.92	70757.7812222222	556085.99	62741.5965714286	57783.34	114126.94	162417.37	36080.65	201556.44	41553.035	2212934.66	91035.86	99591.69	82042.64	24380.1	103649.124888889	39343.5	81850.27	89138.544125	103797.84	55922.985	71025.262875	84749.71	42318.173	61272.92	109324.25	48484.777	458299.29	35484.99	67105.54	173595.95	25746.99	140009.8791	125197.82	25621.18	149531.33	286047.89	88811.37	89486.8366666667	118884.38	120102.6	407773.47	1987898.63	116190.83	88405.732	172577.152333333	66113.9	99560.8614285714	76419.73	107009	53635.58	583142	62487.0691428571	22151.8	66108.25	178856.60875	119222.16	208968.650625	57837.069	47179.81	116235.16	201289.14	53804.51	45818.27375	153266.426444444	99824.0138571429	83593.3393333334	58708.335	409102.8	103328.67	56733.7383333333	198094.075888889	131503.07	426889.48	39111.99	68845.89	84360.5376	273683.1	86873.79775	421416.66	47462.1228571429	83909.031625	134586.939875	56003.626	403554.65	43207.825	86809.82	125658.13	65564.7975	157097.854428571	91612.1035555556	137875.28	28276.7033333333	150979.035444444	26764.79	163362.84	97940.7053333333	113226.352888889	101363.792285714	197257.15	123089.6	140218.38	54807.30525	311124.96
C05345	32306.687	1433866.239	177982.852	249620.704	506026.725	79844.116	947816.226	17208.192	301696.097	587966.457	74393.747	60959.955	214115.962	17603.159	1257441.394	165196.17	58545.716	38756.594	77411.3933333333	308445.85	50296.454	173060.752	138189.713	794864.799	91034.7644444444	123482.8325	154722.008	81899.455	103162.498	575262.412	22886.147	432025.91	112909.013333333	95958.69	378298.409	175654.49625	213372.472	253040.024	79187.7557142857	156809.115	1151339.096	89252.543	77217.8642857143	82395.722	270387.627777778	527605.325	986759.991	239206.209	169764.587142857	799124.418	143616.837	78446.819	87848.361	172927.89	82109.5742857143	3794267.607	18392.596	127611.071111111	207276.9125	365698.275	193821.409	704966.981	70849.943	124664.36	140534.952	187553.542	99484.1957142857	12829.508	863734.924	161741.45125	28445.148	72185.6222222222	423527.657	57961.603	129253.835	791011.647	164563.136	1924247.519	52368.8271428571	19484.258	78991.393	1169289.792	26262.745	1963132.065	109442.587777778	168383.86	323464.815	176685.4075	2175722.112	64482.78625	466516.797	1229375.836	105957.105714286	166352.43	64872.837	1087711.93	67634.2271428571	166352.43	9992.036	282584.73375	121508.681428571	121276.146	45437.091	1373482.68	362397.2	513545.254	67611.527	222425.34625
C00122	26166.7922222222	105823.71	70872.951	53891	488617.87	31492.63	370629.87	24395.57	38150.88	67783.32	71514.73	53891	128085.25	30556.35	86087.36	23407.28	71547.9	41241.81	20150.83	78640.03	39444.88	35618.92	39779.26	254256.68	28699.77	29472.9971428571	20551.65	18623.35	70565.78	161447.79	37758.15	194247.5	57727.09	37336.04	78003.33	76070.09	87463.79	36890.3	50521.21	51082.27	277683.23	41754.4722222222	26312.7433333333	53891	40935.73	85689.55	263573.43	69924.38	44667.14	102252.35	56699.73	46692.03	36160.9	56284.8975	55000.29	336831.41	56951.11	24070.315	52835.62375	49249	79005.64	158282.74	32275.1225	41891.4	50684.85	102174.16	26161.95	34501.2942857143	97642.5	20736.1	46917.82	29645.626	71081	92665.66	38009.78	125658.92	41685.41	47184.59	25726.8714285714	55529.2811111111	39500.43625	190788.35	39446.54	362746.85	27193.884	45306.2077777778	67829.6	61142.93	205837.06	31460.4033333333	72698.99	122883.09	44686.25	66702.57	46602.09	99898.77	31999.34	60870.93	50998.55	54895.52	23338.39	59596.37	40093.44	253310.04	28335.22	107985.79	35390.98	70621.56
C01662	22157920.94	8843421.82	1852106.39	14199079.95	1721684.32	8030455.36	8135297.98	10099224.14	9382605.26	12617082.78	214105.66	3759931.97	2633996.66	27809625.6	27314231.95	1042148.4	2560266.52	1383253.55	1756533.44	7297491.69	6750296.85	31849427.73	5182591	14729430.26	2984855.45	18001069.55	3645522.8	5367214.09	6779480.09	6757554.31	1054880.01875	5131164.26888889	1152490.906	3501406.34	5965399.83	5805422.53	5087707.42	8586714.49	108355.48	6725514.31	467789.53	7194966.64	1212864.13	3978993.39	9754372	3859741.75	1587720.52	10666009.28	6357848.34	11042887.17	7690236.4	4152346.52	49862.12	8385882.58	9270141.72	8934927.34	551323.3	3482257.19	1728573.84	9016796.4	5933267.2	206600.89	4453837.54	8602969.56	7355473.26	2210132.85	395583.37	7144347.04	6357848.34	6008940.85	569555.24	8670523.26	14271553.77	5674695.2	1039902.31	5223035.74	8794221.26	17617957.72	4832999.55	14808031.58	3817104.86	1003170.78	4495374.76	7016153.06	2885555.4	13202854.26	12355394.38	6980003.32	5745083.96	10710573.16	18650739.42	14724969.07	2912647.72	27815637.91	9863397.25	14249852.73	3109651.73	21959380.21	1146750.81333333	1849224.83	25811302.52	29181874.24	14573509.48	6156259.56	19927964.48	2792190.76	10842988.25	17647035.38
C02483	70407.51	127714.203	177843.65	83985.06	107475.01	172413.1	180666.42	112842.96	85016.33	60917.009375	112445.76	125571.07	121463.91	277109.07	346879.47	126989.95	360137.92	50252.207	100480.69	155314.55	474907.16	48878.14	100127.18	141323.2	88730.9	271281.7	265328.76	122717.66	254320.3	98033.5	102440.17	73541.92	228082.22	148059.39	67105.28	285596.8	55022.47	511968.16	148059.39	64314.7993333333	179073.51375	383811.22	140509.1	230625.6	434630.63	150714.87	55525.67	581156	449014.76	1009269.52	164474.11	205151.64	133502.21	39857.224	144361.46	140272.96	36142.09	34778.416125	268018.65	2597648.81	108496.97	123006.36	419569.76	95172.86	40479.34	105762.74	78034.64	271690.72	149876.04	29802.77	239353.6	81038.1966666667	236477.53	199157.82	125286.39	282799.54	194729.59	253854.571777778	352925.73	58749.41	134238.64	139424.055285714	19497.82	185699.171666667	70880.11	113350.48	1103886.25	903131.38	341231.88	108541.08	92425.74	115271	92342.17	90160.79	35998.13	80102.172	62609.82	84462.82	475156.88	927216.89	116025.34	162770.61	63210.46	149441.01	146242.75	432214.94	408734.06	601661.88
C00257	18301.732	86668.556	41562.429	47722.898	120381.902	69205.706	105983.175	28784.562	25687.66	15005.416	47621.11975	30670.5797142857	18876.777	30084.048	133087.897	28803.1616666667	31498.626	42106.68	20751.765	93331.033	44846.0266666667	38923.504	66586.004	69892.612	24621.95125	12546.679	30455.896	18628.2233333333	622308.141	1821305.667	36177.2711666667	248487.983	41230.087	73167.481	903022.389	43928.173125	216995.847	729434.453	31375.099	39280.6431428571	455510.34	836723.574	52395.308	93970.828	95502.513	189774.147	432277.092	4707548.035	29535.9407142857	81195.007	1686093.789	100519.475	46907.235	1057585.945	36710.0254285714	1000356.231	100941.014	592140.387	703716.944	981175.259	95345.172	98313.317	177232.386	112255.579	43735.086	54973.73	22680.81	19537.495	88374.986	24731.0083333333	43119.038	25159.8	84269.582	20951.17	43851.542	88800.03	42816.9225555556	94658	31622.0066666667	25616.1611428571	69560.035	105951.578	40130.649	106717.188	258151.969	4849786.553	100505.261	39348.7474285714	96439.74	21978.0433333333	91002.683	163692.018	26393.284	39423.456	25472.724	36190.973	24552.1553333333	51329.3142222222	372112.97	1535847.855	28781.1766666667	52015.545	32392.105	82284.999	6636.831	250298.118	26204.655	8912.673
C00293	860245.94	4089406.15	20135621.26	2832745.72	462493.2	10875117.97	2319226.3	606720.43	1502275.18	1819771.33	3497732.03	350677.46	6380745.43	225821.52	4692280.39	9602729.95	1746003.36	1309571.28	307653.04	1699318.22	2642366.39	2702326.28	1075311.29	2554578.14	1380113.75	2442555.23	6481419.37	556310.52	268814.85	3600338.5	2255353.69	5789767.38	4246015.97	746677.16	6632039.88	1333286.8	5561848.87	3610190.14	51413.22	927225.83	1678316.06	2117043.72	288284.52	2863945.27	5839225.2	6082602.86	7447503.77	2722636.87	3564061.98	735408.73	14414925.59	1943211.98	326440.94	5426572.88	154775.35	5980580.22	145662.02	1944362.93	7399919.41	1278087.2	1003313.97	4189998.23	1214838.32	999578.41	2271691.29	2344819.69	271867	101150.84	1602583.27	12112063.62	1738143.37	621130.86	5065004.31	1381813.59	1972833.6	3873639.53855556	2693884.29	4784047.73	108020.665	213539.2	833833.58	2850735.67	9608878.53	6775087.54	310055.64	4119928.71	594617.04	3052428.85	8276592.45	397383.28	5466974.01	3035267.3	173720.92	755835.7	1901016.2	2931112.1	116700.08	3667878.17	3429476.11	3681165.38	371904.62	383867.13	780772.01	1361385.5	2704004.19	2288028.9	3407526.24	1165222.05
C00668	229685.052	7580843.769	909408.787	1852327.562	2029841.926	173762.777	2366286.337	173587.516	1421852.081	1247054.044	173452.829	204902.163	550984.465	31703.265	4604657.524	5119.133	105564.153	177689.036	152317.608222222	1102280.472	89803.479	477776.897	54441.043	2415689.416	272727.5115	95563.483	813634.232	15786.447	208100.783	2428121.578	28053.2	1692881.958	183542.88	180569.427	793145.385	272815.01	914723.122	648971.361	197871.29625	727456.163	3174407.249	488270.744	22537.574	272815.01	18211.791	3009834.038	5716200.89	1331448.632	102768.255	2158443.573	595837.485	272815.01	195472.501	33997.055	73216.907	9974814.493	111152.439	179296.945	154437.178	1777399.977	737437.389	3474286.631	66851.765	295760.954	877492.339	762542.548	152663.855714286	34813.928	4875896.954	9544.128	16758.227	155679.1116	1559199.958	211524.453	63868.773	2501106.676	363551.368	4177336.388	23306.365	134092.057	593481.026	6035332.689	55476.238	8266093.994	70140.43	470443.771	1352052.86	475468.3805	6501385.027	66756.413	1594106.748	4951590.21	34094.592	766981.322	285654.22	3160767.005	45000.629	412534.979	75593.336	35718.394	34742.591	481403.002	212922.713	3758429.269	2099599.978	1824310.692	177832.69	124255.272
C00191	25321.9001111111	103510.14	113574.18	75674.4846666667	207453.02	67173.79	72280.43	26018.3466666667	69758.52	78018.76	37798.5453333333	54894.97	98375.96	32480.1566666667	77531.3513	65055.68	50771.4	40480.038	30474.655	77658.5	69642.9	98082.41	34017.00125	75047.25	26941.5933333333	24281.7822857143	62800.29	56505.59	140619.2	124704.28	28254.6174	180826.95	36462.06	32064.81	132173.47	45725.4664285714	254586.79	30324.7842	25621.18	49858.42	180653.47	126776.81	29463.13	48955.32	99416.46	77053.77	167007.71	99675.28	33704.4458333333	143730.87	117587.93	31037.05725	26215.77	41691.184	33121.8436	200621.17	83756.94	35537.5	43089.42	94775.1557777778	143024.12	73983.01	34213.1031666667	35680.2933333333	90218.47	44008.6035	23488.9366666667	37175.63	110377.601	31847.9216666667	41795.93	22817.974	64283.9536666667	67627.26	52201.245	77658.5	96294.68	112999.84	25133.525	42861.3875555556	49236.42	338622.7	27006.30025	82868.37	21734.964	85231.56	78332.41625	42391.3502	73825.37	26055.89	50923.6614285714	70979.81	28369.925	81996.6124444444	53806.48	78497.53	32840.8072	69304.15	42386.39	78263.23	35481.6875	87982.38175	38716.0933333333	83923.04	88109.0933333333	111598.5376	39325.4628571429	99331.23
C00025	1654960.2	20474280.8	12512529.4	14635725.9	97836416.5	2528339.8	45753787.6	1034458.8	16151522.5	16498849.5	6128119.7	756697	13400058.4	1158139.4	15033240.1	2558566.1	5554532	2885933.4	666697.7	14439604.3	2677865.2	14271653.9	3834065.8	40716262	967439.5	1068949.4	8567033.9	432859.3	10011146.8	45894977	1541793.6	25690182	1476485.6	1268405.9	11291696.6	4606789.5	22617725.8	8932493.2	445824.2	7702222.1	58587814.9	6791258.6	172909	12040015.2	7471993.9	27874581.6	51426034.3	15430722.9	2630818.8	46979490.4	9500091.2	4210335.3	831339.1	4361735.2	1166763	66276021	3776729.1	1847345.2	3301732.5	13751576.5	16611180.4	33748186.4	2222910.5	1243075.4	5695976.1	9972129.3	747907.2	812163.3	47775655.3	1771920.5	4980944.3	533038.1	16399722.5	6550583	1880067.3	59937328.3	7982443.2	37699940.1	907972.2	6968308.3	5413087.9	39541812.7	2842868.6	55024779.3	1915795.8	7803977	14010078.5	3662932.2	49730519.3	577249.3	7954351	47051953.2	626754.8	11691025.6	6442128.3	22391149.6	555609.2	8659579.9	778468.3	6727233.6	1062052.8	9358708.1	2595770.7	39393467.9	9658466.1	31485794	4624296.2	4570743.3
C00064	6341166.1	2574523.7	7132637.2	4052458.9	4404616	8770605	4707054.7	9665871.6	7719907	5772683.6	6045054.7	4551445.7	6682996.5	9691392.8	2894612.7	4279467.8	6456860.7	5714786	4354185.2	7328356.4	6545226.6	6293253	8594049	4449762.7	6747649.8	8583642.6	7140778.9	7488866.7	4298287.7	7299080.6	3304829.2	5686853.4	3026402.2	4502222.3	6627003.4	7772349.6	5197415.6	8044375	3043869.2	7889533.4	6531977.5	8362395.2	5490718.9	7089507.4	8049290.9	4034900.3	6710838	7960985.3	8489740.5	6146114.4	7266862.2	7111210	6526297.4	5972611.2	6558394.4	5111491.2	5530216.8	7214447.9	6572555.4	8225208.5	6486760.2	6938979.7	4725907.2	6412093.4	7773972.6	6649650.6	2946066.7	8149660.3	5294235.1	6997234.5	6501628.1	6965649.6	4565140.2	6745399.8	5885190.2	725378.1	7011340.9	4634504.5	7452749.9	4555320.3	6026111.8	5976926.4	6644427.9	4145490	7936215.1	6806252.3	5863438.6	8789658.3	5476393.6	8371075.2	5249408.1	6248124.6	6456860.7	2482716.6	7120023.8	3562125.9	3933350.1	6013516.7	4482761.4	7603546.3	5823921.6	3967244.4	7122393	5951019.9	3442238.5	8481182.1	8501206.1	8277051.1
C00127	524241.96	18348668.66	26742.35	690929.018	650040.1	715579.12	1344210.27633333	482953.67	7924906.49	3765341.91	66782.24	524241.96	294491.1275	118096.94	37020.98	155743.494125	615548.94	1065617.07	640373.34	679257.21	337591.94	301473.3	299083.0723	4397835.84	235186.68	177987.78	436468.344666667	114508.74	4470865.78	654776.3848	1130984.02	2250314.87	457379.29	783630.26	4026458.73	3691799.15	354843.643555556	143009.96	570769.7	343821.69	2807024.59	429310.667111111	1417933.61	732717.67	373649.5911	8049700.61	19056810.97	1149760.51	266301.74	1989645.03922222	24063.78	430175.36	380573.95	157402.56	299192.01	2191505.69	143071.967375	304002.04	348173.72	2999769.51	504193.589888889	1010044.16	1099179.78	576183.08	6321940.76	1384797.83	372704.94	498783.12	553443.8	95364.59	148655.167125	31201.69	3735052.01	1758281.92	477714.22	875085.25	125593.56	1465854.18	321868.75	399950.893	718948.42	994043.351	120874.33	2258275.18771429	825114.07	378363.56	2763908.46	276757.26	3668243.82	131072.08	1849799.1	1369319.79	635900.74	64681.45	425955.09	2244269.57	465796.19	542129.67	1556380.79	1707060.07	130270.71	46241.68	441683.06	4280103.05	1349173.812	965741.2	46478.86	226903.867428571
C00051	17375.43	7857816.88	106905.5575	84468.3375	197538.92	42027.8266666667	55561.11	80442.49	84356.27	100030.69	61736.37	25856.26	77479.1833333333	27483.78	72423.69	322496.985714286	30709.54	39570.71	26237.24	48496.99	63024.8342857143	60854.3	80794.6485714286	674222.19	32147.50875	39149.0583333333	22217.85	56128.134	304753.99	122180.88	42367.41	206682.34	110523.3	50110.765	403895.59	2223811.31	472545.336666667	69006.8	54018.69	33774.86	149431.84	78137.525	695288.84	53348.6425	66593.2014285714	3430141.01	7657414.4	106808.35	52527.0028571429	30481.07	72690.42	11744.65	69964.945	64971.7514285714	52154.232	149854.61	214536.697142857	60513.175	16590.81	89136.07	175135.39	162251.45	161548.64	55141.5266666667	74774.71	32884.61	46442.01	24747.84	574438.45	41315.45625	64208.3928571429	91978.47	13374032.82	53722.33	61401.66625	47618.33	75387.08375	33657.78	46215.5628571429	115531.27375	68791.892	195998.681111111	74655.5485714286	308892.68875	51431.44	57148.76	2229284.1	57708.7083333333	567945.02	26127.422	99363.25	296501.295714286	365324.49	80442.49	21343.89	44894.75	24204.05	81612.0811111111	71099.578	32253.8	39489.055	68906.52	65525.7528571429	5317182.16	19995.72	188169.77	32888.96625	30478.6216666667
C00258	19098.3	185225	96151.02	60371.91	67058.99	50951.7	172096.71	41086.2	64090.78	60504.92	47238.58	41083.87	134692.31	95569.62	187642.52	34690.74	94552.1	27735.57	29374.973	75828.4	50038.74	39822.2	92362.29	60656.6	24901.15	29893.81	114344.02	35180.73	33690.42	53608.46	39557.9438571429	213081.73	38372.548	41616.45	333542.21	44824.6392857143	78051.69	65056.98	40620.75	74078.17	86321.04	124748.87	23169.17	161238.52	148027.73	180264.36	194191.61	69648.19	36388.19	80534.3	117963.06	64090.78	18314.02	68489.16	13891.79	70803.22	40849.87	23346.038875	72010.14	105077.35	64090.78	55818.77	44595.4	65503.88	80226.51	116875.64	26148.7825	26476.61	39447.24	47981.1842857143	63124.58	26769.89625	144623.89	140302.92	91863.98	140231.23	80975.19	245735.49	33778.25	13243.28	100178.67	100893.06	43936.58	228639.61	39404.45	46198.15	55470.36	49556.85	86142.55	31460.4033333333	98501.33	64627.78	31641.5233333333	53181.53	249727.63	94596.95	29946.8722857143	77029.98	25228.6	247371.42	67366.38	38698.4	12388.56	62633.36	73763.4	93417.45	18935.02	17637.39
